Degree,Branch,CourseCode,DegreeType,Department
M.Sc. (5 Years Integrated),CS,XC5251,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5252,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5253,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5261,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,MA5351,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5351,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5352,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5353,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5354,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5361,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5362,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,MA5451,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5451,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5452,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5453,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5454,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5461,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5462,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5463,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5551,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5551,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5552,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5561,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5651,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5651,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5652,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5611,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,MA5851,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5851,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5852,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,GE5851,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,MA5951,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5951,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5951,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,MA5961,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5961,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5501,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5601,Regular,Mathematics
